date,tag,asset,downloads
2026-08-23,v0.1,CharacterCheck-win64.zip,0
2026-08-23,v0.1,SHA256SUMS.txt,1
2026-08-24,v0.1,CharacterCheck-win64.zip,1
2026-08-24,v0.1,SHA256SUMS.txt,1
2026-08-24,v0.2,CharacterCheck-win64.zip,1
2026-08-24,v0.2,SHA256SUMS.txt,0
2026-08-25,v0.1,CharacterCheck-win64.zip,1
2026-08-25,v0.1,SHA256SUMS.txt,1
2026-08-25,v0.2,CharacterCheck-win64.zip,5
2026-08-25,v0.2,SHA256SUMS.txt,0
2026-08-25,v0.3,CharacterCheck-win64.zip,0
2026-08-25,v0.3,SHA256SUMS.txt,0
2026-08-26,v0.1,CharacterCheck-win64.zip,1
2026-08-26,v0.1,SHA256SUMS.txt,1
2026-08-26,v0.2,CharacterCheck-win64.zip,5
2026-08-26,v0.2,SHA256SUMS.txt,0
2026-08-26,v0.3,CharacterCheck-win64.zip,1
2026-08-26,v0.3,SHA256SUMS.txt,0
2026-08-27,v0.1,CharacterCheck-win64.zip,1
2026-08-27,v0.1,SHA256SUMS.txt,1
2026-08-27,v0.2,CharacterCheck-win64.zip,5
2026-08-27,v0.2,SHA256SUMS.txt,0
2026-08-27,v0.3,CharacterCheck-win64.zip,1
2026-08-27,v0.3,SHA256SUMS.txt,0
2026-08-28,v0.1,CharacterCheck-win64.zip,1
2026-08-28,v0.1,SHA256SUMS.txt,1
2026-08-28,v0.2,CharacterCheck-win64.zip,5
2026-08-28,v0.2,SHA256SUMS.txt,0
2026-08-28,v0.3,CharacterCheck-win64.zip,1
2026-08-28,v0.3,SHA256SUMS.txt,0
2026-08-29,v0.1,CharacterCheck-win64.zip,1
2026-08-29,v0.1,SHA256SUMS.txt,1
2026-08-29,v0.2,CharacterCheck-win64.zip,5
2026-08-29,v0.2,SHA256SUMS.txt,0
2026-08-29,v0.3,CharacterCheck-win64.zip,1
2026-08-29,v0.3,SHA256SUMS.txt,0
2026-08-30,v0.1,CharacterCheck-win64.zip,1
2026-08-30,v0.1,SHA256SUMS.txt,1
2026-08-30,v0.2,CharacterCheck-win64.zip,5
2026-08-30,v0.2,SHA256SUMS.txt,0
2026-08-30,v0.3,CharacterCheck-win64.zip,1
2026-08-30,v0.3,SHA256SUMS.txt,0
2026-09-01,v0.1,CharacterCheck-win64.zip,1
2026-09-01,v0.1,SHA256SUMS.txt,1
2026-09-01,v0.2,CharacterCheck-win64.zip,5
2026-09-01,v0.2,SHA256SUMS.txt,0
2026-09-01,v0.3,CharacterCheck-win64.zip,1
2026-09-01,v0.3,SHA256SUMS.txt,0
2026-09-02,v0.1,CharacterCheck-win64.zip,1
2026-09-02,v0.1,SHA256SUMS.txt,1
2026-09-02,v0.2,CharacterCheck-win64.zip,5
2026-09-02,v0.2,SHA256SUMS.txt,0
2026-09-02,v0.3,CharacterCheck-win64.zip,1
2026-09-02,v0.3,SHA256SUMS.txt,0
2026-09-03,v0.1,CharacterCheck-win64.zip,1
2026-09-03,v0.1,SHA256SUMS.txt,1
2026-09-03,v0.2,CharacterCheck-win64.zip,5
2026-09-03,v0.2,SHA256SUMS.txt,0
2026-09-03,v0.3,CharacterCheck-win64.zip,1
2026-09-03,v0.3,SHA256SUMS.txt,0
2026-09-04,v0.1,CharacterCheck-win64.zip,1
2026-09-04,v0.1,SHA256SUMS.txt,1
2026-09-04,v0.2,CharacterCheck-win64.zip,5
2026-09-04,v0.2,SHA256SUMS.txt,0
2026-09-04,v0.3,CharacterCheck-win64.zip,1
2026-09-04,v0.3,SHA256SUMS.txt,0
2026-09-05,v0.1,CharacterCheck-win64.zip,1
2026-09-05,v0.1,SHA256SUMS.txt,1
2026-09-05,v0.2,CharacterCheck-win64.zip,5
2026-09-05,v0.2,SHA256SUMS.txt,0
2026-09-05,v0.3,CharacterCheck-win64.zip,1
2026-09-05,v0.3,SHA256SUMS.txt,0
